"annual_precip","land_cover","land_elevation","occ","ph20","sand","silt","tree_cover","X","Y","mg"
647.120971679688,10,1513,9,66,41,22,5,36.192218342247,0.231874968944099,855
641.944885253906,120,1573,12,67,44,21,10,36.196384973263,0.231874968944099,869
641.944885253906,120,1573,12,67,44,21,10,36.200551604279,0.231874968944099,687
673.777099609375,120,1652,14,63,42,22,10,36.2026349197871,0.231874968944099,750
673.777099609375,120,1652,14,63,42,22,10,36.2068015508031,0.231874968944099,830
647.120971679688,10,1513,9,66,41,22,5,36.1859683957229,0.229791614906832,730
673.777099609375,120,1652,14,63,42,22,10,36.2026349197871,0.229791614906832,727
673.777099609375,120,1652,14,63,42,22,10,36.2047182352951,0.229791614906832,705
673.777099609375,120,1652,14,63,42,22,10,36.2068015508031,0.229791614906832,750
641.944885253906,120,1573,12,67,44,21,10,36.194301657755,0.227708260869565,666
641.944885253906,120,1573,12,67,44,21,10,36.196384973263,0.227708260869565,758
673.777099609375,120,1652,14,63,42,22,10,36.2047182352951,0.227708260869565,827
661.326843261719,10,1560,14,65,43,22,15,36.1859683957229,0.225624906832298,743
661.326843261719,10,1560,14,65,43,22,15,36.192218342247,0.225624906832298,613
637.997009277344,40,1560,9,69,44,21,2,36.198468288771,0.225624906832298,755
660.162841796875,120,1581,12,65,42,22,11,36.2026349197871,0.225624906832298,978
637.997009277344,40,1560,9,69,44,21,2,36.196384973263,0.223541552795031,639
712.195922851562,120,1686,17,65,40,22,18,36.2109681818192,0.223541552795031,858
660.162841796875,120,1581,12,65,42,22,11,36.2068015508031,0.221458198757764,923
660.162841796875,120,1581,12,65,42,22,11,36.2026349197871,0.219374844720497,996
762.1416015625,120,1949,18,65,35,24,19,36.2234680748673,0.219374844720497,611
655.741394042969,40,1567,9,66,41,22,5,36.2068015508031,0.211041428571428,908
750.341613769531,10,1838,22,61,36,23,7,36.2338846524074,0.211041428571428,602
661.632629394531,10,1581,10,64,40,23,4,36.2026349197871,0.206874720496894,809
661.632629394531,10,1581,10,64,40,23,4,36.2047182352951,0.206874720496894,767
696.302612304688,10,1660,16,60,38,22,17,36.2151348128352,0.206874720496894,778
721.462829589844,10,1757,15,61,37,23,7,36.2255513903753,0.206874720496894,570
696.302612304688,10,1660,16,60,38,22,17,36.2109681818192,0.204791366459627,857
721.462829589844,10,1757,15,61,37,23,7,36.2213847593593,0.204791366459627,581
722.281799316406,10,1772,16,66,37,22,9,36.2297180213914,0.204791366459627,562
722.281799316406,10,1772,16,66,37,22,9,36.2338846524074,0.204791366459627,545
722.281799316406,10,1772,16,66,37,22,9,36.2338846524074,0.20270801242236,620
668.584350585938,10,1571,9,67,43,22,8,36.198468288771,0.200624658385093,798
711.68896484375,10,1709,11,66,39,22,1,36.2193014438513,0.200624658385093,653
711.68896484375,10,1709,11,66,39,22,1,36.2255513903753,0.200624658385093,636
711.68896484375,10,1709,11,66,39,22,1,36.2193014438513,0.198541304347826,605
711.68896484375,10,1709,11,66,39,22,1,36.2255513903753,0.198541304347826,643
705.366394042969,10,1734,9,66,37,23,7,36.2297180213914,0.198541304347826,747
701.484252929688,20,1784,15,61,35,24,6,36.2380512834235,0.198541304347826,889
701.484252929688,20,1784,15,61,35,24,6,36.2401345989315,0.198541304347826,920
713.579895019531,10,1572,9,66,43,22,1,36.1880517112309,0.196457950310559,712
680.564331054688,40,1690,13,61,38,23,20,36.2026349197871,0.196457950310559,990
704.516357421875,10,1843,19,61,33,23,14,36.2443012299476,0.196457950310559,895
843.416442871094,10,1635,9,66,43,21,5,36.1776351336908,0.194374596273292,728
668.584350585938,10,1571,9,67,43,22,8,36.200551604279,0.194374596273292,981
680.564331054688,40,1690,13,61,38,23,20,36.2088848663111,0.194374596273292,646
719.790954589844,10,1600,7,67,40,22,4,36.192218342247,0.192291242236025,658
694.378479003906,40,1587,14,64,40,22,9,36.198468288771,0.192291242236025,868
727.4716796875,20,1688,11,66,39,22,7,36.2130514973272,0.192291242236025,660
960.606262207031,120,1761,6,64,42,21,11,36.1609686096266,0.190207888198758,708
714.360046386719,40,1630,13,63,37,24,31,36.2026349197871,0.190207888198758,869
727.4716796875,20,1688,11,66,39,22,7,36.2151348128352,0.190207888198758,637
879.951416015625,10,1673,8,66,40,21,12,36.1526353475945,0.188124534161491,596
879.951416015625,10,1673,8,66,40,21,12,36.1588852941186,0.188124534161491,750
719.790954589844,10,1600,7,67,40,22,4,36.1859683957229,0.188124534161491,893
719.790954589844,10,1600,7,67,40,22,4,36.1880517112309,0.188124534161491,880
719.790954589844,10,1600,7,67,40,22,4,36.192218342247,0.188124534161491,689
687.043701171875,10,1752,14,62,33,26,7,36.2359679679155,0.186041180124223,1037
875.788330078125,10,1702,9,62,40,22,15,36.1713851871667,0.183957826086956,690
749.216491699219,10,1683,9,61,39,23,11,36.2255513903753,0.183957826086956,727
673.083190917969,10,1720,8,63,35,26,5,36.2359679679155,0.183957826086956,1014
675.4453125,11,1742,12,60,32,27,5,36.2484678609636,0.183957826086956,1019
900.806762695312,10,1703,7,65,42,21,8,36.1609686096266,0.181874472049689,683
749.216491699219,10,1683,9,61,39,23,11,36.2234680748673,0.181874472049689,678
749.216491699219,10,1683,9,61,39,23,11,36.2255513903753,0.181874472049689,697
673.083190917969,10,1720,8,63,35,26,5,36.2380512834235,0.181874472049689,902
673.083190917969,10,1720,8,63,35,26,5,36.2422179144395,0.181874472049689,983
900.806762695312,10,1703,7,65,42,21,8,36.1630519251346,0.179791118012422,606
875.788330078125,10,1702,9,62,40,22,15,36.1713851871667,0.179791118012422,737
723.519653320312,10,1620,9,66,38,23,11,36.1859683957229,0.179791118012422,925
690.10791015625,10,1811,17,61,31,25,8,36.2526344919796,0.179791118012422,1024
790.763793945312,10,1628,9,62,39,23,19,36.1505520320865,0.177707763975155,687
853.062072753906,10,1690,8,62,40,21,10,36.1568019786105,0.177707763975155,619
723.519653320312,10,1620,9,66,38,23,11,36.1901350267389,0.177707763975155,729
724.321960449219,120,1715,9,63,38,23,32,36.200551604279,0.177707763975155,637
771.59521484375,30,1699,9,62,39,23,16,36.2109681818192,0.177707763975155,652
675.4453125,11,1742,12,60,32,27,5,36.2484678609636,0.177707763975155,1066
800.278747558594,10,1666,9,63,39,22,10,36.1713851871667,0.175624409937888,661
748.438171386719,10,1628,8,62,38,22,13,36.1776351336908,0.175624409937888,697
748.438171386719,10,1628,8,62,38,22,13,36.1797184491988,0.175624409937888,732
679.407897949219,10,1775,13,63,32,26,4,36.2588844385037,0.175624409937888,972
700.090148925781,10,1934,14,62,33,25,4,36.2609677540117,0.175624409937888,883
829.425476074219,10,1649,9,64,39,21,9,36.1651352406426,0.173541055900621,857
800.278747558594,10,1666,9,63,39,22,10,36.1755518181828,0.173541055900621,635
665.597473144531,10,1703,8,62,35,25,5,36.2401345989315,0.173541055900621,963
742.691528320312,40,1731,9,62,39,22,15,36.196384973263,0.171457701863354,709
784.795776367188,40,1735,8,62,40,22,9,36.2068015508031,0.171457701863354,572
665.597473144531,10,1703,8,62,35,25,5,36.2359679679155,0.171457701863354,842
829.425476074219,10,1649,9,64,39,21,9,36.1609686096266,0.169374347826087,746
829.425476074219,10,1649,9,64,39,21,9,36.1630519251346,0.169374347826087,776
724.019653320312,10,1631,8,62,38,22,7,36.1859683957229,0.169374347826087,643
742.691528320312,40,1731,9,62,39,22,15,36.200551604279,0.169374347826087,618
784.795776367188,40,1735,8,62,40,22,9,36.2068015508031,0.169374347826087,597
823.475341796875,40,1768,8,63,40,22,18,36.2130514973272,0.169374347826087,555
823.475341796875,40,1768,8,63,40,22,18,36.2172181283432,0.169374347826087,550
